address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
,3,杭州市,浙江建德绿城置业有限公司,建售许字(2018)第028号,2018-07-16,绿城美好广场,2018-07-16,,http://www.tmsf.com/newhouse/presell_330189_1164477367_2796984.htm,
之江国家旅游度假区枫桦东路与梧桐路交叉口,12,杭州市,杭州汇辉置业有限公司,杭售许字(2018)第005016号,2020-01-23,之悦商业中心,2018-07-13,其它,http://www.tmsf.com/newhouse/presell_33_401578692_1164059539.htm,之江国家旅游度假区枫桦东路与梧桐路交叉口
杭州市萧山区湘湖旅游度假区风情大道与南六路交叉口,19,杭州市,杭州湘源房地产开发有限公司,萧售许字（2018）第00492号,2021-07-16,湘印府,2018-07-13,住宅,http://www.tmsf.com/newhouse/presell_330181_476980824_25261320.htm,杭州萧山湘湖旅游度假区风情大道与南六路交叉口
博奥路与平澜路交叉口,2,杭州市,杭州保亿奥体置业有限公司,萧售许字（2018）第00491号,2021-11-04,奥景名邸,2018-07-13,住宅 商铺 写字楼,http://www.tmsf.com/newhouse/presell_330181_430818417_25260959.htm,金鸡路与平澜路交叉口
博学路与通惠路交叉口,"7,6",杭州市,杭州融悦房地产开发有限公司,萧售许字（2018）第00490号,2020-01-09,银塆学府,2018-07-13,住宅,http://www.tmsf.com/newhouse/presell_330181_418465328_25260912.htm,博学路与通惠路交叉口
,26,杭州市,杭州临盛置业有限公司,临售许字（2018）第00489号,2018-07-13,吴越府,2018-07-13,住宅,http://www.tmsf.com/newhouse/presell_330191_514046312_5496540.htm,临安区万马路与福兴街交叉口
,30,杭州市,杭州临盛置业有限公司,临售许字（2018）第00488号,2018-07-13,吴越府,2018-07-13,住宅,http://www.tmsf.com/newhouse/presell_330191_514046312_5496429.htm,临安区万马路与福兴街交叉口
,"3,12,11,6,5,4",杭州市,建德市天宏置业有限公司,建售许字(2018)第026号,2018-07-12,金色佳园,2018-07-12,,http://www.tmsf.com/newhouse/presell_330189_209243246_2789479.htm,
大江东临江街道佳苑路81号,"5,1,2,3,4,6,7",杭州市,杭州晶华房地产开发有限公司,杭售许字(2018)第008013号,2019-09-20,润东府,2018-07-12,住宅、商业,http://www.tmsf.com/newhouse/presell_33_1163985212_1208718888.htm,杭州大江东临江街道长风路3999号（富丽达进出口公司四楼）
杭州市临安区锦北街道马溪路与西墅街交汇处,5,杭州市,杭州临安融金置业有限公司,临售许字（2018）第00487号,2018-07-12,溪悦十锦台公寓,2018-07-12,住宅,http://www.tmsf.com/newhouse/presell_330191_518959341_5493523.htm,杭州市临安区锦北街道马溪路与西墅街交汇处
杭州市建设一路与宁税路交汇处东北向,6,杭州市,杭州嘉科置业有限公司,萧售许字（2018）第00486号,2019-09-18,望海潮公寓,2018-07-12,住宅,http://www.tmsf.com/newhouse/presell_330181_489914742_25260832.htm,杭州市萧山区建设一路与宁税路交汇处往北50米（宁税路一侧）
余杭区良渚新城康良路与杜文路,"9,4,5,8",杭州市,杭州恺泽房地产开发有限公司,余售许字（2018）第00477号,2018-07-12,沐水澜轩,2018-07-12,住宅,http://www.tmsf.com/newhouse/presell_330184_1161084349_12489642.htm,良渚新城 · 杜文路与康良路交叉口 或 古墩路与立新路交叉口向北300米
余杭区良渚新城康良路与杜文路,"11,10",杭州市,杭州恺泽房地产开发有限公司,余售许字（2018）第00476号,2018-07-12,沐水澜轩,2018-07-12,住宅,http://www.tmsf.com/newhouse/presell_330184_1161084349_12489510.htm,良渚新城 · 杜文路与康良路交叉口 或 古墩路与立新路交叉口向北300米
浙江省杭州市淳安县进贤大道与睦州大道交叉口,"2,3",杭州市,杭州千岛湖浙远房地产开发有限公司,淳售许字(2018)第35更1号,2018-07-11,悦湖湾花园,2018-07-11,住宅,http://www.tmsf.com/newhouse/presell_330190_1160481506_3050727.htm,千岛湖坪山工业园区秀湖路（啤酒小镇后方）
,5,杭州市,杭州金宇房地产开发有限公司,富售许字(2018)第061号,2020-03-18,金宇·云水湾,2018-07-11,,http://www.tmsf.com/newhouse/presell_330187_61690925_3443026.htm,
,16,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00485号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485408.htm,
,15,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00484号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485402.htm,
,12,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00483号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485197.htm,
,11,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00482号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485382.htm,
,10,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00481号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485377.htm,
,9,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00480号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485370.htm,
,8,杭州市,杭州易辰房地产开发有限公司,临售许字（2018）第00479号,2018-07-10,易辰江南大院,2018-07-10,,http://www.tmsf.com/newhouse/presell_330191_467832282_5485363.htm,
浙江省淳安县千岛湖镇睦州大道,"10,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,18,17,16,15,12,11",杭州市,杭州千岛湖立元置业有限公司,淳售许字(2018)第32更（1）号,2018-07-09,光明·青溪华府,2018-07-09,,http://www.tmsf.com/newhouse/presell_330190_1160264952_3046702.htm,
杭州市富阳区富春街道江滨东大道1号,"10,8",杭州市,杭州富阳碧水源房地产有限公司,富售许字(2018)第049号,2021-11-29,西郊半岛,2018-07-09,住宅,http://www.tmsf.com/newhouse/presell_330187_30693197_3438408.htm,富春街道江滨东大道大坞坑阳光城翡丽海岸新售楼部
杭州建德市洋安大道与金塘路交汇处,10,杭州市,万固置业有限公司,建售许字(2018)第025号,2018-07-09,万固·观澜府,2018-07-09,住宅,http://www.tmsf.com/newhouse/presell_330189_523392221_2784185.htm,杭州建德市洋安大道与金塘路交汇处
建德市梅城镇南峰工业功能区,"8,11,9",杭州市,建德市嘉凯置业有限公司,建售许字(2018)第024号,2018-07-09,御品江南苑,2018-07-09,,http://www.tmsf.com/newhouse/presell_330189_499154993_2784044.htm,
大江东临江街道佳苑路81号,"5,7,7,7,7,7,6,6,6,6,6,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,5,5,5,5",杭州市,杭州晶华房地产开发有限公司,杭售许字(2018)第008013号,2019-09-20,润东府,2018-07-09,住宅、商业,http://www.tmsf.com/newhouse/presell_330231_1163985212_21123741.htm,杭州大江东临江街道长风路3999号（富丽达进出口公司四楼）
枫桦东路与梧桐路口,1,杭州市,中维地产浙江有限公司,杭售许字(2018)第005015号,2020-08-07,滨之澜苑,2018-07-09,住宅 商贸 写字楼,http://www.tmsf.com/newhouse/presell_33_427788696_1163787696.htm,枫桦东路与梧桐路口
余杭天目山西路277号,"22,7,9,12",杭州市,杭州东海春房地产开发有限公司,余售许字（2018）第00471号,2018-07-08,闲湖城,2018-07-08,"别墅,普通住宅",http://www.tmsf.com/newhouse/presell_330184_20333706_12489044.htm,余杭天目山西路277号项目现场
临平区崇杭街与崇明路交叉口,"11,2,3,4,5,6,7,8,9,10",杭州市,杭州荣美置业有限公司,余售许字（2018）第00470号,2018-07-08,玉水观邸,2018-07-08,住宅,http://www.tmsf.com/newhouse/presell_330184_478023972_12489027.htm,临平区崇杭街与崇明路交叉口
天目山西路258号,"11-3,11-2",杭州市,杭州余杭雅居乐房地产开发有限公司,余售许字（2018）第00469号,2018-07-08,雅乐国际花园,2018-07-08,住宅,http://www.tmsf.com/newhouse/presell_330184_120742641_12489341.htm,天目山路268号（支付宝大楼）；项目现场
西湖区文二西路龙章路交叉口,"7#楼,9#楼,8#楼",杭州市,杭州西溪汇金置业有限公司,杭售许字(2018)第000054号,2019-10-11,新杭商务中心,2018-07-08,商贸,http://www.tmsf.com/newhouse/presell_33_508170223_1163717893.htm,西湖区文二西路龙章路交叉口
杭州余杭区文二西路转入荆长大道（五常小学旁）,"17,12",杭州市,杭骏置业（杭州）有限公司,余售许字（2018）第00465号,2018-07-07,耦园,2018-07-07,住宅,http://www.tmsf.com/newhouse/presell_330184_406320701_12488923.htm,杭州余杭区文二西路转入荆长大道（五常小学旁）
address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
大桥北路与公园路交汇处（中光花园北侧）,"10,9",杭州市,杭州富阳融创置业有限公司,富售许字(2018)第060号,2019-07-26,富春壹号院,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330187_76155685_3430615.htm,大桥北路与公园路交汇处（中光花园北侧）
富阳区沿江公路黄公望国家森林公园南麓,"155,117,118,128,138,142,143,146,149,150,151,152,153,154",杭州市,富阳万科房地产开发有限公司,富售许字(2018)第058号,2019-10-15,富春·泉水湾五期,2018-07-06,住宅 别墅,http://www.tmsf.com/newhouse/presell_330187_23491800_3430631.htm,富阳区沿江公路黄公望国家森林公园南麓
富春街道环城西路与金苑路交叉口西南侧,"20,19",杭州市,杭州锦坤房地产开发有限公司,富售许字(2018)第057号,2021-09-03,富政储出[2016]13号地块,2018-07-06,,http://www.tmsf.com/newhouse/presell_330187_1159525049_3431156.htm,
富阳区富春街道永兴路179号,"8、S1,6",杭州市,杭州富阳中庆房地产发展有限公司,富售许字(2018)第056号,2020-08-03,润泽院,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330187_510550836_3430345.htm,
富阳市受降镇闲祝公路向阳路交叉口,"18,16,15,14,31,30,29,28,27,26,25,24,23,17,22,21,20,19",杭州市,富汇房地产开发（富阳）有限公司,富售许字(2018)第054号,2019-12-30,雍景山城,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330187_33960778_3430228.htm,富阳市受降镇闲祝公路向阳路交叉口
大桥北路与公园路交汇处（中光花园北侧）,"8,6,7",杭州市,杭州富阳融创置业有限公司,富售许字(2018)第047号,2019-06-11,富春壹号院,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330187_76155685_3430592.htm,大桥北路与公园路交汇处（中光花园北侧）
新安江街道浦发路,"11,12",杭州市,杭州锦易置业有限公司,建售许字(2018)第023号,2018-07-06,中南漫悦湾,2018-07-06,,http://www.tmsf.com/newhouse/presell_330189_506845538_2778384.htm,
通惠北路与建设二路交汇处,"8,2",杭州市,杭州滨顺房地产开发有限公司,萧售许字（2018）第00475号,2020-07-07,通惠江南名府,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330181_521890004_25260479.htm,通惠北路与建设二路交汇处
建设四路与香樟路交叉口南200米,3,杭州市,杭州中南锦望置业有限公司,萧售许字（2018）第00474号,2020-07-21,君奥名邸,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330181_489192291_25260208.htm,建设四路与香樟路交叉口南200米
时代大道沿线东方文化园南约1.6千米,"6,1,3,4,5,6,1,2,5",杭州市,杭州碧悦置业有限公司,萧售许字（2018）第00473号,2020-07-10,东旭府,2018-07-06,住宅,http://www.tmsf.com/newhouse/presell_330181_1163629314_25258912.htm,时代大道沿线东方文化园南约1.6千米
萧山建设四路与香樟路口,1,杭州市,杭州汇荣欣悦房地产开发有限公司,萧售许字（2018）第00468号,2021-01-20,博印名邸,2018-07-05,住宅,http://www.tmsf.com/newhouse/presell_330181_497606978_25258669.htm,杭州市滨康路55号（原丽兹公馆售楼处）
城厢街道风情大道与彩虹大道交叉口,"13,11",杭州市,杭州金湖房地产开发有限公司,萧售许字（2018）第00466号,2019-11-14,金湖艺境城,2018-07-05,住宅 商贸 写字楼,http://www.tmsf.com/newhouse/presell_330181_448750437_25258392.htm,地铁一号线湘湖地铁站Ｃ口出口
余杭区良渚大道和康良路交叉口向西200米,"13,1",杭州市,联发集团杭州房地产开发有限公司,余售许字（2018）第00464号,2018-07-05,亚澜湾,2018-07-05,住宅、别墅,http://www.tmsf.com/newhouse/presell_330184_521337912_12488762.htm,余杭区良渚大道和康良路交叉口向西200米
